1.6693,0.92411,-15.189,-20.767,45.703,206.26
1.6417,0.93235,-14.762,-19.979,19.805,203.6
1.6854,0.95311,-15.859,-21.456,106.64,243.44
1.6541,0.94915,-15.128,-19.06,77.695,-87.86
1.5933,0.82027,-14.96,-19.736,72.744,299.93
1.5679,0.83246,-14.663,-18.961,47.988,287.04
1.6061,0.84583,-15.326,-20.239,137.49,358.1
1.5785,0.85385,-14.739,-19.5,95.977,147.99
1.5197,0.72675,-14.461,-17.768,107.02,421.94
1.495,0.74274,-14.282,-17.109,96.357,419.61
1.5322,0.75072,-14.484,-17.875,116.92,463.53
1.5067,0.75416,-14.168,-17.581,82.646,421.86
1.4487,0.6426,-13.89,-15.516,87.979,426.1
1.425,0.66137,-13.7,-14.765,92.93,423.7
1.4613,0.66707,-14.157,-15.604,47.607,425.21
1.4368,0.67804,-13.913,-15.281,40.752,392.05
1.3808,0.57159,-13.581,-13.507,11.807,308.4
1.3581,0.59509,-13.353,-12.872,17.52,282.16
1.3906,0.59468,-14.008,-13.623,42.275,343.69
1.3676,0.60134,-13.76,-13.66,33.516,362.71
1.3129,0.50753,-13.772,-12.432,-73.506,229.72
1.2915,0.53265,-13.524,-11.944,-65.508,208.88
1.3212,0.53084,-13.734,-12.167,65.127,276.45
1.2992,0.54144,-13.578,-11.654,41.895,235.98
1.243,0.44727,-14.317,-11.21,-92.168,279.51
1.2228,0.47565,-14.008,-10.783,-88.359,247.7
1.2533,0.47301,-13.357,-10.859,62.842,280.04
1.2318,0.4848,-13.342,-11.3,47.607,175.6
1.1697,0.39543,-14.694,-9.6371,-15.234,336.52
1.1514,0.42482,-14.408,-9.4666,-25.518,292.87
1.1877,0.42225,-13.105,-9.3666,15.615,311.2
1.1658,0.42844,-13.102,-9.8981,19.424,353.44
1.0961,0.3509,-14.469,-7.8443,105.12,349.74
1.0787,0.38099,-14.263,-7.8545,96.357,346.54
1.1222,0.37934,-13.201,-7.7468,-22.852,326.98
1.1008,0.38582,-13.147,-7.7661,-20.186,386.25
1.025,0.31699,-13.642,-6.1397,217.47,284.3
1.0088,0.34627,-13.444,-6.0012,192.33,326.67
1.0557,0.34478,-13.334,-6.0968,6.4746,325.36
1.0343,0.35078,-13.303,-6.0356,2.666,377.49
0.95968,0.2895,-12.294,-5.0013,263.94,215.01
0.94429,0.32097,-12.34,-4.5878,232.32,278.14
0.98889,0.31837,-13.136,-4.4932,84.932,293.7
0.96779,0.32547,-13.121,-3.9911,66.27,367.57
0.90209,0.26698,-11.003,-3.9896,197.29,234.69
0.88541,0.30039,-11.121,-3.2198,228.9,239.52
0.9243,0.29985,-12.485,-3.1598,151.2,257.66
0.90312,0.31087,-12.641,-2.3599,122.26,352.84
0.84965,0.2496,-10.321,-2.6544,105.88,296.18
0.83308,0.28878,-10.051,-2.1926,173.29,224.75
0.86404,0.28678,-11.624,-1.9166,156.15,268.23
0.84138,0.30187,-11.898,-0.46267,171.01,287.14
0.79888,0.24043,-9.9442,-1.0278,95.977,287.63
0.7849,0.27847,-9.3882,-0.97231,92.93,302.16
0.80806,0.28069,-10.923,-0.47751,135.97,283.72
0.78414,0.30624,-10.931,0.51149,193.48,149.34
0.7502,0.23932,-9.3615,0.22187,89.502,247.95
0.73919,0.27905,-9.1216,0.82901,14.473,305.22
0.75481,0.282,-10.264,0.92061,131.02,262.33
0.73207,0.30698,-9.9633,1.0308,182.81,229.2
0.70526,0.24265,-9.0492,1.4517,9.5215,245.08
0.69368,0.28676,-9.2435,2.0799,-50.273,219.08
0.70542,0.28989,-9.6129,2.1457,86.074,209.07
0.6845,0.31655,-9.1025,2.8034,150.06,263.9
0.65971,0.25384,-9.2663,2.6727,-31.611,195.12
0.64676,0.29985,-9.6243,3.0198,-70.459,171.81
